listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
51963334,Super Saver Studio 20N · Super Saver Studio 20N · Günstiger Start in Berlin: Super Saver Studio,Entire home/apt,20,48.0,71613847,,,2025-01-18 14:53:02+00:00,2025-01-18 14:53:02
44566079,"Modernes 2,5 Zimmer Erdgeschoss-Apartment-Neubau",Entire home/apt,29,99.0,8912086,,,2025-01-18 14:44:34+00:00,2025-01-18 14:44:34
52819429,FAMILY@Mauerpark +SelfCheckIn +Street Parking,Entire home/apt,1,106.0,125847915,,,2025-01-18 14:43:33+00:00,2025-01-18 14:43:33
19479221,Private Room,Private room,2,59.0,2877982,Christian,f,2025-01-18 14:06:11+00:00,2025-01-18 14:06:11
20081217,Schniekes Zimmer im Rigaerkiez!,Private room,3,32.0,21547435,Dominik,f,2025-01-18 13:58:53+00:00,2025-01-18 13:58:53
27011860,LOFT HOTEL BIG MAMA,Private room,1,131.0,84251083,,,2025-01-18 13:42:42+00:00,2025-01-18 13:42:42
40819056,Clean and nice flat in Neukölln / myabachufer,Shared room,1,50.0,214951099,Karam,f,2025-01-18 13:19:03+00:00,2025-01-18 13:19:03
37548979,Charming flat next to Gesundbrunnen,Entire home/apt,14,65.0,53158363,Christopher,f,2025-01-18 13:12:45+00:00,2025-01-18 13:12:45
14173499,Grüne Stadtoase kinderfreundlich 45qm/700qm Garten,Entire home/apt,7,110.0,45160095,Annette,f,2025-01-18 12:53:41+00:00,2025-01-18 12:53:41
42547533,Friedrichshain Penthouse Apartment,Private room,5,100.0,22002533,Phillip,f,2025-01-18 12:41:42+00:00,2025-01-18 12:41:42
2192027,Temporary Living - Loftstyle Studio Apartment,Entire home/apt,180,40.0,1581,,,2025-01-18 12:37:38+00:00,2025-01-18 12:37:38
27448772,our home in Berlin,Entire home/apt,1,100.0,206843996,,,2025-01-18 12:25:15+00:00,2025-01-18 12:25:15
20870208,"Big room close to Alexanderplatz,Berlin mitte",Private room,1,23.0,125905477,Matias,f,2025-01-18 12:23:56+00:00,2025-01-18 12:23:56
3564551,Zentrale Wohnung in Berlin Wedding,Entire home/apt,1,65.0,10867269,Resat,f,2025-01-18 12:04:53+00:00,2025-01-18 12:04:53
29027417,A CITY WHERE PAST MEETS PRESENT AT EVERY CORNER,Entire home/apt,2,84.0,218761980,Hannes,f,2025-01-18 11:49:25+00:00,2025-01-18 11:49:25
37322274,Cozy bedroom in the heart of hip Neukolln,Private room,2,45.0,73542338,Hannah,f,2025-01-18 11:47:34+00:00,2025-01-18 11:47:34
9878743,Maisonette apartment in Kreuzberg,Entire home/apt,14,50.0,20073156,Jeroen,f,2025-01-18 11:43:07+00:00,2025-01-18 11:43:07
32324771,Spacious Premium Condo at Potsdamer Platz  !,Entire home/apt,1,150.0,156046558,,,2025-01-18 11:35:18+00:00,2025-01-18 11:35:18
30416233,Sweet Home Away - Outstanding Location,Private room,1,80.0,23538739,Virginio,f,2025-01-18 11:22:24+00:00,2025-01-18 11:22:24
7911896,Beautiful Studio in Central Berlin,Entire home/apt,5,35.0,9704111,Catherine,f,2025-01-18 11:09:29+00:00,2025-01-18 11:09:29
29375871,Gemütliche helle Wohnung im Herzen Neuköllns,Entire home/apt,2,100.0,221307440,Arite,f,2025-01-18 10:45:55+00:00,2025-01-18 10:45:55
42874318,"Cozy, central room! Mitte/Kreuzberg",Private room,2,40.0,341396019,Lívia,f,2025-01-18 10:43:18+00:00,2025-01-18 10:43:18
20109071,"Awesome home in Berlin with Sauna, WiFi and 4 Bedrooms",Entire home/apt,28,131.0,141539959,,,2025-01-18 10:34:49+00:00,2025-01-18 10:34:49
4385494,once upon a time,Entire home/apt,5,141.0,22767895,Fabio,f,2025-01-18 10:34:30+00:00,2025-01-18 10:34:30
24058328,*Nice and cosy room in flatshare in Kreuzberg*,Private room,6,25.0,31452730,Mouna,f,2025-01-18 10:33:22+00:00,2025-01-18 10:33:22
20024345,Beautiful flat in Richardkiez | Berlin - Neukölln,Entire home/apt,2,73.0,46359595,Christian,f,2025-01-18 10:22:47+00:00,2025-01-18 10:22:47
9936085,Kreuzberg - super central,Private room,1,50.0,51069713,Sebastian,f,2025-01-18 10:16:38+00:00,2025-01-18 10:16:38
52656583,Cozy Room in Neukölln Reuterkiez,Private room,3,31.0,19587639,Lila,f,2025-01-18 10:16:10+00:00,2025-01-18 10:16:10
